config_id,point_id,plane_name,polar_name,polar_type,analysis_method,alpha_deg,beta_deg,speed_m_s,control_parameter,CL,CY,CDi,CDv,CD_total,Cm,Cmi,Cmv,Cl,Cn,Cni,Cnv,xCP_m,yCP_m,zCP_m,xNP_m,max_bending_Nm
CFG001,1,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-5,0,12,0,0.1893863789750913,-1.4826796312257645e-15,0.0021416473939864056,0.014816965094791705,0.01695861248877811,0.0746341869453143,0.07164981948838671,0.002984367456927598,9.697918115650519e-15,2.1488706267366343e-16,1.4012332487674674e-16,7.476373779691672e-17,0.007398952631745539,-2.837033435067307e-13,0.07734981775969965,0,20.71447800010978
CFG001,2,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-4.9,0,12,0,0.1995331231226004,-1.5174347608899527e-15,0.0021803360968705014,0.014734955820376662,0.016915291917247163,0.07363320092231147,0.07067242059929854,0.0029607803230129446,1.011655547296149e-14,2.276864883308897e-16,1.4616792737138976e-16,8.151856095949987e-17,0.014105256588156097,-2.8093746695529965e-13,0.07626907393515334,0,21.56006221206357
CFG001,3,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-4.8,0,12,0,0.20967942852258284,-1.5502597323061052e-15,0.0022226899901751935,0.014650587501512278,0.01687327749168747,0.0726259255720202,0.0696890851296508,0.002936840442369412,1.0511664172862034e-14,2.358984924061867e-16,1.515286238022533e-16,8.436986860393341e-17,0.020162504296504322,-2.7697317553444753e-13,0.07529286441664537,0,22.405766293553928
CFG001,4,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-4.7,0,12,0,0.21982524503973455,-1.5901631700639238e-15,0.0022687097797686696,0.014567574870016047,0.016836284649784716,0.07161284214382954,0.06869982506107557,0.0029130170827539894,1.0962567044344661e-14,2.366327741954554e-16,1.5756298792387655e-16,7.906978627157886e-17,0.025660592250253716,-2.7443610383149415e-13,0.07440671771553597,0,23.25157993994343
CFG001,5,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-4.6,0,12,0,0.22997052253613395,-1.6255818052140286e-15,0.002318396059664157,0.014497976558105481,0.016816372617769637,0.07059350490070043,0.0677046524473947,0.0028888524533057297,1.135399678447035e-14,2.3578528585913253e-16,1.634621237277442e-16,7.23231621313883e-17,0.03067355032849872,-2.743967769393646e-13,0.0735987165433825,0,24.09749284525978
CFG001,6,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-4.5,0,12,0,0.24011521087192017,-1.656601721226156e-15,0.0023717493119979585,0.014447529214666554,0.016819278526664514,0.06956876443645896,0.06670357941447252,0.002865185021986421,1.1752723127557033e-14,2.415586377549226e-16,1.6960911678685384e-16,7.194952096806871e-17,0.03526289440972233,-2.7118489139759306e-13,0.07285895810964153,0,24.943494702321146
CFG001,7,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-4.4,0,12,0,0.2502592599059736,-1.6930944576000444e-15,0.002428769907010635,0.014383828344207612,0.016812598251218246,0.06854007147992816,0.06569661816006815,0.002843453319860011,1.2177442987004917e-14,2.5355417761370176e-16,1.7549560410387602e-16,7.805857350982575e-17,0.039480163365338154,-2.7053878845602397e-13,0.07217914571756893,0,25.789575202861908
CFG001,8,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-4.3,0,12,0,0.2604026194965969,-1.7271727631913527e-15,0.00248945810303125,0.014311694161972748,0.016801152265003998,0.06750517906456412,0.06468378095368645,0.002821398110877691,1.2631095535552636e-14,2.673822081063991e-16,1.8144281235874078e-16,8.59393957476583e-17,0.04336886290623722,-2.6880380060370043e-13,0.07155227584465412,0,26.635724037658154
CFG001,9,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-4.2,0,12,0,0.270545239502194,-1.7597856363950638e-15,0.002553814046464774,0.014235636062901744,0.016789450109366517,0.06646405086153882,0.06366508013642916,0.0027989707251096538,1.3014677205322904e-14,2.813425063687147e-16,1.870846167593145e-16,9.42578896094002e-17,0.046965972004531405,-2.6502513903032316e-13,0.07097239563951084,0,27.48193089665337
CFG001,10,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-4.1,0,12,0,0.28068706978195124,-1.7991305615551328e-15,0.002621837771782511,0.014161574182070957,0.016783411953853467,0.06541638992499846,0.0626405281208445,0.0027758618041539606,1.340744835367415e-14,2.896408530664383e-16,1.9321568853792946e-16,9.642516452850887e-17,0.05030312257873093,-2.648138811624943e-13,0.0704344130166754,0,28.32818546908401
CFG001,11,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-4,0,12,0,0.2908280601965178,-1.8312281075988335e-15,0.002693529201515708,0.014115097598544842,0.01680862680006055,0.06436225962748776,0.061610137390775054,0.0027521222367127255,1.3850569651711556e-14,2.76309969732815e-16,1.9819634564406752e-16,7.811362408874745e-17,0.05340753223690621,-2.615365244738755e-13,0.06993394650402185,0,29.174477443605202
CFG001,12,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-3.9,0,12,0,0.30096816060868503,-1.8649488325375962e-15,0.002768888146252224,0.01406349186377691,0.016832380010029135,0.0633049477690431,0.060573920501207065,0.002731027267836034,1.427766495407334e-14,2.905299355880831e-16,2.0482011246741738e-16,8.57098231206657e-17,0.056302748352172645,-2.6300451953831425e-13,0.0694672054618189,0,30.020796508416286
CFG001,13,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-3.8,0,12,0,0.3111073208840677,-1.899981878813028e-15,0.0028479143046363066,0.014000049316784254,0.01684796362142056,0.062242277991896855,0.059531890078116136,0.002710387913780725,1.4671183683690516e-14,3.0281369889997543e-16,2.1040254147709736e-16,9.241115742287813e-17,0.059009246541019224,-2.60848460547052e-13,0.06903089373994994,0,30.867132351386534
CFG001,14,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-3.7,0,12,0,0.3212454908917848,-1.9358438058590983e-15,0.0029306072633714843,0.013932716246898874,0.01686332351027036,0.06117349751773802,0.05848405881831421,0.0026894386994238124,1.5085914066289868e-14,3.0505230467813945e-16,2.1610074427529776e-16,8.895156040284175e-17,0.06154491573278823,-2.6125693712231646e-13,0.06862213159164142,0,31.713474660180808
CFG001,15,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-3.5999999999999996,0,12,0,0.33138262050513795,-1.9684959633198204e-15,0.0030169664972265627,0.013873701157380883,0.016890667654607446,0.060098109160099826,0.057430439489294355,0.0026676696708054686,1.5498733312041767e-14,3.097449674310918e-16,2.223129591783438e-16,8.743200825274791e-17,0.06392545413490722,-2.579666819676739e-13,0.06823839193115573,0,32.55981312238516
CFG001,16,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-3.5,0,12,0,0.34151865960229427,-2.003598865392422e-15,0.003106991369044704,0.013833520073977121,0.016940511443021826,0.05901676181915772,0.056371044929075846,0.0026457168900818843,1.592593953029415e-14,3.010621323371104e-16,2.280010581903888e-16,7.306107414672164e-17,0.06616469462246256,-2.5802042926024697e-13,0.06787744795271791,0,33.406137425632494
CFG001,17,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-3.4,0,12,0,0.35165355806696463,-2.0350428657260497e-15,0.003200681129755633,0.013787459652874786,0.016988140782630418,0.05793126890373912,0.05530588804604695,0.0026253808576921587,1.632529137174395e-14,3.169400414934363e-16,2.3421114865693463e-16,8.272889283650164e-17,0.06827487380448632,-2.552897081415575e-13,0.06753732981634476,0,34.252437257728275
CFG001,18,000000（选定5-12kg）1.AR20.03.6 youhua a2.5 翼梢反扭-3,T1-12.0 m/s-VLM2,fixed_speed,PANEL4,-3.3,0,12,0,0.3617872657890841,-2.0752192154887068e-15,0.003298034918390937,0.013729203078800356,0.017027237997191292,0.05684056125217009,0.054234981818807974,0.002605579433362118,1.677135154046543e-14,3.387908765511831e-16,2.398962445639529e-16,9.889463198723024e-17,0.07026685582215422,-2.5610463087488206e-13,0.06721628862090996,0,35.09870230677613
