config_id,point_id,plane_name,polar_name,alpha_deg,beta_deg,speed_m_s,control_parameter,density_kg_m3,ref_area_m2,ref_chord_m,ref_span_m,mass_kg,cg_x_m,cg_y_m,cg_z_m,CL_trim,CD_trim,Cm_trim,xNP_m,qbar_Pa,Cw0,Xu_kg_s,Xw_kg_s,Xq_N_s,Zu_kg_s,Zw_kg_s,Zq_N_s,Mu_N_s,Mw_N_s,Mq_Nm_s,Yv_kg_s,Yp_N_s,Yr_N_s,Lv_N_s,Lp_Nm_s,Lr_Nm_s,Nv_N_s,Np_Nm_s,Nr_Nm_s,Xd_N_rad,Yd_N_rad,Zd_N_rad,Ld_Nm_rad,Md_Nm_rad,Nd_Nm_rad,matrix_qc_max_abs
CFG013,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2,0.36393779709523777,0,9.064809929759754,0,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.7407277583635228,0.023518980658404947,0.0030339728498308426,0.14422635532768305,50.329602175886016,0.7417438413414749,-0.32786605240533256,6.055774395211341,1.058882094805225,-14.27853142353441,-56.574826772580096,-9.015442741013068,-0.00770997697704251,-1.6247794313385477,-4.951835526300331,-2.873064705225397,-7.104286818597113,5.670209273334998,-7.4833685574328355,-143.63125320539083,40.110287422699436,2.725936951943216,-20.31510522752445,-5.018400251254308,0,0,0,0,0,0,1.7763568394002505e-15
CFG014,1,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),6.020259718090201,0,6.867815649913003,-3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2965470680014513,0.06282772790162747,0.004240017809248771,0.16896663178247684,28.88972122822885,1.2922129693190763,-0.8376464279479751,2.0572149588221875,1.2804102076744726,-18.935341344795084,-41.982011651346575,-6.814083295329524,-0.016538489954844027,-2.2443331475209547,-3.7739102523442756,-2.1664047480261037,-4.814520349322914,5.3406554721968185,-5.826124435326706,-106.81919897726192,52.105834564012575,1.2987883386757813,-42.429627332099365,-3.1247639943027172,-0.01834373546724449,-3.873792344927436e-12,-16.04568531314243,2.6449650328374093e-11,-18.840860580441014,-0.0000027500217206220415,4.440892098500626e-16
CFG014,2,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.857821906434406,0,6.90897843764162,-2.9,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2808683569305548,0.06088777286807184,0.003969525683583361,0.1579829872992593,29.237064619225567,1.27686116706058,-0.8283786516649932,5.471723648454924,1.2430656699921216,-18.818480619241093,-42.266120941117514,-6.853294460332821,-0.014955178806043412,-1.7952854135429852,-3.7947934298750776,-2.181661835546105,-4.864354156870021,5.344860692590417,-5.854881939556862,-107.53070989947268,51.79674058694611,1.3171391920682856,-38.27676075695111,-3.205657594617213,-0.08462723625392884,-1.9167704282997923e-12,-16.235776992593333,-6.307436755398443e-12,-19.05532359485146,-0.0000024113172455490255,8.881784197001252e-16
CFG014,3,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.693995887793187,0,6.951347116830918,-2.8,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2650365910646426,0.058884506833043304,0.00371484489580841,0.15784554787131694,29.596751377437535,1.261343583795787,-0.808384760196515,5.1102130740421,1.19219133829826,-18.699856991173146,-42.55786117460804,-6.8937818462372356,-0.013224751290126513,-1.8018281722380902,-3.8181655585558145,-2.1972288316568402,-4.9152047839475985,5.349260031534356,-5.884644529850356,-108.26167016316039,51.48342596842434,1.318324708579276,-41.581530585359054,-3.3046258552442,-0.1282461188703357,1.104597444831096e-11,-16.432663121905843,4.2152829497357597e-10,-19.28276747424751,-0.000001281623261115015,8.881784197001252e-16
CFG014,4,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.528748637768786,0,6.994315805576867,-2.7,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2490482794281403,0.056691655419544636,0.0034120971851052707,0.15723190414966803,29.96377782273721,1.2458933807339143,-0.774143762465514,5.093098443189865,1.1744496451468445,-18.57764608318999,-42.853529673809035,-6.934949609215867,-0.011943092417990298,-1.7880494791366122,-3.8403435168372253,-2.2129049388302735,-4.966641230772922,5.353357155449544,-5.914899162456104,-109.00266447348787,51.16089121518213,1.3451292860047774,-37.34823578823279,-3.39538769946442,-0.15211217723589918,-3.723659495763422e-12,-16.633564597255223,-8.825471481366785e-11,-19.517020421142497,-0.0000010934954326045138,8.881784197001252e-16
CFG014,5,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.362054727997976,0,7.039291061077097,-2.6,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.232900687610043,0.05406820937071198,0.003042276855155777,0.15840015699102997,30.35036641856795,1.230023780809807,-0.7264910872981861,3.8284921579211244,1.1535621439034154,-18.455390527281352,-43.16174964590315,-6.978197817134306,-0.010694991893551997,-1.851333693106069,-3.861665641404444,-2.2291257922091847,-5.019659106669068,5.358198603657686,-5.946835281156873,-109.77563137824808,50.838915129007404,1.3873152043365524,-39.46230353266476,-3.4924570485922586,-0.17211810279327558,4.355314765558955e-13,-16.845266509984373,-2.289593430462584e-11,-19.764961940892317,-0.0000036324480184189917,8.881784197001252e-16
CFG014,6,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.193863228471973,0,7.083115933599536,-2.5,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2165885200828976,0.05071081170778683,0.0027314581601037484,0.16017675103527917,30.729450438897118,1.2148499865092213,-0.6890558431137275,-0.06009426982248045,1.0649607960121892,-18.32459083749985,-43.46317229053797,-7.020402644212876,-0.009166336502778455,-1.941479005049925,-3.8813227758207542,-2.244882332793992,-5.072005932307143,5.361347796696037,-5.977785213063556,-110.53136331209053,50.494112627984414,1.4087557116756608,-37.81064885735453,-3.589988884372403,-0.23077646896424706,-4.9883740862713064e-12,-17.052747042857177,-1.0185855847492431e-10,-20.004785920241616,-0.0000013222838849819056,8.881784197001252e-16
CFG014,7,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),5.0241442434386565,0,7.127073901087376,-2.4,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.2001085833775906,0.04574383619284329,0.0026613328246988237,0.15351367514049705,31.112049214831007,1.1999104332007184,-0.6259927786631924,-1.1271190643408293,-3.4641012645115667,-18.188547805650103,-43.76565324234319,-7.062843385984152,-0.00890165280982222,-1.663376814567411,-3.8740982751707675,-2.2605707456394573,-5.1245820176706,5.3637676595087,-6.008836475796518,-111.28985094580166,50.13559233564852,1.5100113302701847,-34.57545182303836,-3.670596181689046,-0.26278889855402476,-4.283551087218538e-12,-17.26212655873318,-7.752225236418958e-11,-20.247571952388792,-0.00000581920593827823,8.881784197001252e-16
CFG014,8,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.852859422895901,0,7.174230596987133,-2.3,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.1834568313279719,0.0408121752187674,0.002900023152104417,0.1536173652119159,31.525120603482144,1.1841880930665318,-0.5586872969090866,5.044053211198111,1.141328974268407,-18.05485374130097,-44.088024730629854,-7.108564641527848,-0.00950054247946322,-1.6802004986630064,-3.924146205118887,-2.277154600792912,-5.179590822820529,5.367730889086648,-6.042572861503593,-112.09898596245856,49.78431035113872,1.6180481573701897,-28.209136048163188,-3.7327947201645344,-0.24211756521595673,-2.5505641692572877e-12,-17.488362673575296,-2.376721463179018e-10,-20.515541861648618,0.000002429728322730445,5.551115123125783e-17
CFG014,9,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),4.679968861314503,0,7.224612468842738,-2.2,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,1.166629055873462,0.03955226208406264,0.0029004009394164153,0.1533319048761428,31.969453011536746,1.1677294709314592,-0.5380768254910134,5.964868548646591,1.2439921985087643,-17.923118118306252,-44.43048368927439,-7.1575988957269425,-0.009214502618780374,-1.6805685144283613,-3.9518590512181566,-2.2946352341107046,-5.23706911402952,5.373194843036609,-6.079010563717664,-112.95926435960435,49.43923477832862,1.6880556670050617,-27.290632645507237,-3.7822082719159402,-0.19291628375547137,-3.152706894263725e-12,-17.731890463990776,7.899832208563974e-11,-20.805260789616597,-0.0000037537666391556797,1.1102230246251565e-16
